208	263	405	260	405	535	213	536	
767	272	965	269	974	550	769	546	
1437	283	1636	295	1639	566	1433	566	
1981	294	2186	290	2188	569	1982	566	
2578	282	2786	285	2786	563	2581	567	
3136	285	3332	286	3336	567	3132	572	
180	862	438	858	438	1278	184	1277	
730	906	989	905	987	1282	735	1286	
1409	919	1666	926	1670	1297	1413	1291	
